Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	ZscoreP	ldsr_FDR	ldsr_FDR_log10
FC-InN-4	0.08876780505267516	0.07805799764039123	0.00574843794378194	0.8793503184411433	0.06475813996269024	0.067260858970789	-2.2232772681093225e-8	7.045102595468913e-9	-3.155776992572447	0.9991996440196275	0.9994180079644611	0
FC-IP	0.07478579249437903	0.10982678429281538	0.00894739783744418	1.4685514538215272	0.11964034262412448	1.34843158328e-4	2.316840337028191e-9	1.1472096501228884e-8	0.20195439750528704	0.41997618752765	0.9994180079644611	2.5282950906499034e-4
FC-MG	0.06752998871528171	0.10621323508836318	0.00921043013637383	1.5728306358257638	0.1363902217606851	3.8156669460498056e-5	-1.3483236982758858e-8	1.3847094437811956e-8	-0.9737231910501368	0.8349030003856466	0.9994180079644611	0
FC-N-undef	0.10717982862057528	0.11330876354906708	0.00789274245080002	1.0571836604645888	0.07364018540037912	0.4372030175943354	-1.4669667261915218e-8	8.071509242795319e-9	-1.8174627347431285	0.9654268553200933	0.9994180079644611	0
FC-OPC	0.07921429373046417	0.09850931413928551	0.01201250443362273	1.2435800346143957	0.15164566731474846	0.10888915241223508	4.560510402694775e-9	1.3514717450404892e-8	0.3374477061344812	0.3678897135116075	0.9994180079644611	2.5282950906499034e-4
FC-RG-1	0.10362800254111658	0.16429610711360884	0.01376972067578273	1.585441223268015	0.13287644592318867	1.941967045854989e-5	1.5782017111944897e-8	1.2425996494271972e-8	1.2700806023259348	0.10202796022587678	0.5839004449231697	0.2336611938228626
FC-RG-2	0.0821014839563917	0.1487983036771351	0.01548767599351887	1.812370453086688	0.1886406340931081	3.593965955214427e-5	3.990210039277535e-8	1.7331199467227422e-8	2.302327687603421	0.010658349773325275	0.3968570783478077	0.4013658692074599
GE-CycPro	0.1084882990035998	0.17292812760198265	0.01068629439604675	1.5939795276562003	0.09850181534961816	7.92027419834124e-9	1.1753575200703788e-8	1.0102573152787708e-8	1.1634239141797753	0.12232877578880032	0.6184399220433794	0.2087024832496151
GE-InN-1	0.09422261677636848	0.1298151908607201	0.00714060909911114	1.3777497940736283	0.07578444903582902	1.6618743950346152e-6	-1.8409293110095682e-8	8.225752506042691e-9	-2.238007172787183	0.9873897063104484	0.9994180079644611	0
GE-InN-2	0.08863997756141045	0.13270062657185203	0.00830688452068678	1.49707423470314	0.09371487616782974	3.2729248143532693e-7	-4.302284637052037e-9	1.01198850460323e-8	-0.42513176952922327	0.6646296902069302	0.9994180079644611	0
GE-InN-3	0.09494126897135272	0.12495368343130932	0.00759944008238058	1.3161155816130123	0.08004359078741206	1.0485927753666e-4	-1.5239612392986423e-8	7.650980358462572e-9	-1.9918509366097432	0.9768062922239006	0.9994180079644611	0
GE-InN-4	0.08973171156816988	0.1347165751482195	0.00940994008747207	1.5013262624091848	0.10486749804525092	3.3343161642263363e-6	2.8277988056082855e-9	1.0178788222370234e-8	0.2778129128763624	0.3905779890988481	0.9994180079644611	2.5282950906499034e-4
GE-InN-5	0.09824398242019716	0.11340184084861792	0.00743965511794311	1.1542879070556142	0.07572631864741734	0.04234412191427031	-1.6894303171013477e-8	7.818767599791816e-9	-2.160737348359518	0.9846421829346512	0.9994180079644611	0
GE-InN-6	0.1083540969130332	0.11771357069830936	0.00693459495888954	1.086378586984009	0.06399937940930253	0.1772268658739406	-1.5210715713036578e-8	6.672487371372676e-9	-2.279617010336492	0.9886847934020753	0.9994180079644611	0
GE-InN-7	0.09973446438855264	0.10360955783523304	0.00712972241715501	1.038854105954623	0.07148704774087455	0.5867858100063592	-1.9473946973165962e-8	7.471709558509091e-9	-2.6063575973705007	0.9954244566536824	0.9994180079644611	0
GE-RG-1	0.10125010924888936	0.15240745907963696	0.01084738404680014	1.5052572309329015	0.1071345416540292	5.526308918957504e-6	1.9923871374511683e-10	1.0356695606258884e-8	0.01923767206450583	0.4923257525977365	0.9994180079644611	2.5282950906499034e-4
GE-RG-2	0.14657351028549984	0.16919123216537907	0.01113183891087853	1.154309751030891	0.07594714003366393	0.04240132463420297	-1.3820914524974123e-9	7.656772250592157e-9	-0.18050575454827256	0.5716222314392165	0.9994180079644611	0
GE-RG-3	0.10654958205275182	0.19022463058341965	0.01645455007758644	1.785315595975224	0.15443092089690155	1.2166213488626523e-6	3.621884683456405e-8	1.4435339638245308e-8	2.509040157157442	0.006052986056215266	0.3968570783478077	0.4013658692074599
Hipp-CR-1	0.11748319412382728	0.12325475874755598	0.00753978402334936	1.0491267254586685	0.06417755390104934	0.4438068173947667	-1.9581701360884323e-8	6.7030661199135495e-9	-2.921305117774502	0.9982571586407912	0.9994180079644611	0
Hipp-CR-2	0.08170961385193719	0.13053342843008978	0.00963175973143628	1.5975283969230882	0.1178779249757516	1.1938268015406986e-6	1.7804267107841503e-8	1.113522148591021e-8	1.5989145011951376	0.05491980072901437	0.4443770235139906	0.35224840431949894
Hipp-CycPro	0.11315819625009164	0.17366501297329714	0.0137840155691736	1.5347099788465963	0.12181190603913006	1.9282483560328928e-5	1.8189765785822092e-8	1.1699379899568226e-8	1.554763238904089	0.0600012336107597	0.4443770235139906	0.35224840431949894
Hipp-Endo	0.07421123979414071	0.14091491747123605	0.0100549846551311	1.898835241967779	0.1354913983787802	3.8677876224900285e-10	1.7204177650134914e-8	1.3583838020769894e-8	1.266518168416722	0.10266381449198589	0.5839004449231697	0.2336611938228626
Hipp-ExN-1	0.11021128609386197	0.12236615959153142	0.00811862799976642	1.1102870125961304	0.07366421613891845	0.1326827365686736	-1.3130631760990356e-8	7.863538498580643e-9	-1.6698121034646698	0.9525217275273501	0.9994180079644611	0
Hipp-ExN-2	0.10817745341132488	0.11632097835642537	0.00795180773356249	1.0752793182710283	0.07350707086186624	0.3041587964899013	-1.4603961441035033e-8	7.694796766348073e-9	-1.897900865283805	0.9711454288142376	0.9994180079644611	0
Hipp-ExN-3	0.09614824902338624	0.12947109272441232	0.00773812568692451	1.3465777488357686	0.08048119196681745	3.5768432685178506e-5	-2.049409296640314e-8	7.969477016194307e-9	-2.571573131431121	0.9949381184419075	0.9994180079644611	0
